c,h,l,o,t,v
48.05,51.7,47.3,51.53,2020-04-27,24555660
47.8,50.45,47.17,50.4,2020-04-28,12085401
46.36,46.9497,45.01,46.6,2020-04-29,10705136
45.94,48.37,45.82,46.78,2020-04-30,14693036
47.93,50.45,46.29,48.71,2020-05-01,20448475
50.5,50.5,48.0,48.05,2020-05-04,20162296
49.33,50.96,47.23,50.48,2020-05-05,10770778
48.95,49.25,47.5201,48.45,2020-05-06,12674670
53.19,55.99,51.06,55.78,2020-05-07,52262354
59.25,59.88,52.15,53.06,2020-05-08,23443480
66.92,67.67,59.1401,59.6,2020-05-11,67449525
62.27,68.49,62.02,65.99,2020-05-12,23697051
65.1562,66.97,60.29,63.8003,2020-05-13,42529366
64.55,65.39,61.44,64.79,2020-05-14,23497222
66.66,67.67,63.01,63.79,2020-05-15,31841774
80.0,87.0,75.66,86.14,2020-05-18,70840840
71.6,79.75,70.32,78.07,2020-05-19,57563454
73.47,74.48,67.41,70.01,2020-05-20,94103270
67.01,73.16,65.31,73.05,2020-05-21,34436655
68.99,70.6,67.14,69.93,2020-05-22,26331139
57.69,66.59,57.05,66.4,2020-05-26,39011449
52.12,53.34,46.1301,51.2,2020-05-27,56382557
55.55,59.11,53.35,53.5,2020-05-28,62457684
61.42,61.65,56.56,57.45,2020-05-29,23696003
62.18,63.9,60.51,62.76,2020-06-01,20139458
59.85,59.95,55.3553,58.7,2020-06-02,41695366
59.84,63.37,57.1,57.51,2020-06-03,19999010
60.39,61.93,58.52,61.61,2020-06-04,24770096
58.11,59.19,56.63,58.49,2020-06-05,28056870
59.08,59.38,56.72,58.3,2020-06-08,20751956
58.26,59.405,57.73,58.55,2020-06-09,14300310
60.07,60.72,58.6,58.8,2020-06-10,10675501
60.22,66.6867,58.77,62.95,2020-06-11,59190390
61.165,63.63,60.91,62.355,2020-06-12,5528571
66.57,66.98,63.424,65.9,2020-06-15,18210514
64.34,66.6,62.6,66.31,2020-06-16,15788129
63.32,65.88,62.58,63.6,2020-06-17,10589049
64.94,65.4,62.58,63.03,2020-06-18,16831564
66.38,66.45,64.01,64.99,2020-06-19,17668790
64.785,66.29,62.12,65.92,2020-06-22,11052656
62.92,65.08,62.74,64.1,2020-06-23,10006365
64.84,66.1559,63.14,63.23,2020-06-24,14107274
62.0,67.0,58.51,67.0,2020-06-25,26156406
61.27,62.29,59.14,60.71,2020-06-26,10312651
62.1,63.0,59.4,61.82,2020-06-29,7840255
64.26,65.159,61.8,62.18,2020-06-30,11430191
61.5926,63.73,59.12,63.0,2020-07-01,17692487
58.5699,61.8,55.8097,60.0,2020-07-02,26362042
59.14,60.73,57.1,58.55,2020-07-06,8730019
61.09,61.5,57.44,58.8,2020-07-07,8597733
61.58,62.46,59.45,60.79,2020-07-08,7396342
64.92,65.35,58.88,62.09,2020-07-09,20362095
62.59,64.93,62.32,64.65,2020-07-10,6792206
71.72,77.7499,63.8,63.89,2020-07-13,55882816
75.04,76.9486,70.6201,74.0,2020-07-14,27216851
80.23,88.37,78.01,87.52,2020-07-15,83755539
81.72,84.2899,79.6,80.1598,2020-07-16,26259642
94.99,95.21,82.61,83.35,2020-07-17,91935592
82.65,90.85,78.05,87.86,2020-07-20,73445108
80.9,82.43,79.07,80.91,2020-07-21,25252037
83.23,84.12,79.11,79.61,2020-07-22,26513753
75.34,82.68,72.2,82.05,2020-07-23,28862042
73.21,73.9,69.0222,69.205,2020-07-24,20807270
79.91,80.98,76.16,80.63,2020-07-27,41630875
81.49,83.85,79.5,81.0,2020-07-28,32224121
79.51,82.82,76.5502,81.98,2020-07-29,24039626
77.6,79.25,76.8,78.0,2020-07-30,12537000
74.1,78.44,73.6038,78.2,2020-07-31,13757031
77.9404,77.99,73.03,74.98,2020-08-03,13014990
78.49,78.62,75.5,78.192,2020-08-04,9146510
75.76,77.49,73.69,77.49,2020-08-05,18719380
73.76,76.25,73.12,75.79,2020-08-06,11448672
74.05,75.39,73.01,74.38,2020-08-07,8418390
72.0282,75.0,71.41,74.27,2020-08-10,8477061
68.96,71.4,67.5155,69.52,2020-08-11,14032798
69.52,75.75,68.3,75.67,2020-08-12,47228871
67.84,69.18,67.05,69.09,2020-08-13,14410071
69.15,70.36,67.86,68.06,2020-08-14,12432549
69.75,70.78,68.38,69.14,2020-08-17,8435856
67.085,69.7,65.23,68.28,2020-08-18,11042068
68.0,69.17,66.6,66.74,2020-08-19,8257263
67.84,68.0,66.63,67.79,2020-08-20,6197491
66.49,68.02,65.6,67.5,2020-08-21,6729052
64.88,65.74,62.88,64.94,2020-08-24,9151420
66.25,66.696,63.55,64.32,2020-08-25,7431287
70.5,71.64,66.03,67.62,2020-08-26,28166750
68.02,70.32,67.01,69.98,2020-08-27,8989082
67.434,68.95,67.15,68.04,2020-08-28,6037061
64.93,67.2,62.54,67.14,2020-08-31,14438331
63.31,64.5,62.5,63.54,2020-09-01,7796327
64.72,64.89,61.3805,62.84,2020-09-02,9512057
64.84,69.35,64.3,65.65,2020-09-03,13733050
62.6,65.0,59.01,64.99,2020-09-04,11418661
54.34,58.6,54.21,57.75,2020-09-08,16676734
56.86,57.19,54.51,56.03,2020-09-09,8968701
57.56,60.32,57.4,58.88,2020-09-10,6562511
59.34,59.51,57.45,58.49,2020-09-11,4618728
63.69,63.85,60.115,60.15,2020-09-14,8293105
66.85,68.41,64.2293,65.0274,2020-09-15,8853543
68.83,70.04,66.73,67.64,2020-09-16,10271907
67.93,70.9,64.6,68.5,2020-09-17,11693774
69.85,70.0,66.1,68.28,2020-09-18,8740028
69.39,69.48,65.46,68.6,2020-09-21,7255098
68.73,69.19,66.67,67.5,2020-09-22,5369254
67.2,68.62,65.77,67.865,2020-09-23,6507292
65.27,66.77,63.64,65.5,2020-09-24,5366528
69.43,69.73,65.67,65.8865,2020-09-25,8935364
70.63,71.5,69.1,69.65,2020-09-28,6714174
70.51,71.34,69.5851,70.46,2020-09-29,4953216
70.74,75.39,70.16,72.51,2020-09-30,14253929
70.03,70.2,68.16,69.51,2020-10-01,5989154
68.81,72.77,67.25,67.9,2020-10-02,7313486
71.87,72.02,69.05,69.57,2020-10-05,5739894
71.04,73.92,70.31,72.0,2020-10-06,6665827
72.33,73.24,70.959,71.23,2020-10-07,3796356
72.93,73.76,72.01,73.5,2020-10-08,3743758
73.11,73.67,72.39,73.4,2020-10-09,4445842
75.31,75.8514,72.92,73.61,2020-10-12,7133740
78.28,81.37,76.1,76.72,2020-10-13,12770744
76.57,80.01,76.3252,80.01,2020-10-14,5956497
75.55,76.49,73.7101,75.48,2020-10-15,4362720
73.98,76.93,73.665,76.06,2020-10-16,4398920
71.0,74.09,70.5,73.97,2020-10-19,5802889
71.25,73.1,70.65,72.07,2020-10-20,5006986
68.405,71.5784,68.06,71.57,2020-10-21,3318364
70.69,72.53,68.4,68.5035,2020-10-22,4831282
70.5,72.3997,68.8,72.3,2020-10-23,3398748
70.27,71.32,68.7,70.36,2020-10-26,3292242
70.67,71.35,68.81,70.45,2020-10-27,2960930
65.73,69.47,65.4899,68.95,2020-10-28,5508841
71.2,74.539,66.23,68.35,2020-10-29,13262684
67.48,71.49,66.85,70.8,2020-10-30,6434546
67.03,68.6,66.55,68.02,2020-11-02,4257776
69.08,69.25,66.59,66.75,2020-11-03,3983862
69.77,71.55,68.9188,68.97,2020-11-04,4528795
71.48,71.59,70.16,71.09,2020-11-05,4018200
72.44,74.16,70.87,71.42,2020-11-06,5320149
77.71,80.25,75.42,77.81,2020-11-09,17883992
76.08,80.38,73.52,80.0,2020-11-10,9365492
82.38,83.98,76.13,77.05,2020-11-11,17166536
87.79,87.93,83.83,85.18,2020-11-12,20936909
89.61,90.53,85.22,86.62,2020-11-13,12359614
98.0,103.2,93.3,100.31,2020-11-16,60963886
93.17,97.8,91.6,97.23,2020-11-17,25356617
88.9,94.0,88.6103,93.87,2020-11-18,20860436
92.77,94.65,89.5114,90.0,2020-11-19,15358096
97.61,98.43,94.82,95.0,2020-11-20,14629250
101.03,101.77,98.62,100.77,2020-11-23,15516030
98.36,99.89,93.54,98.4,2020-11-24,11862698
109.15,109.29,98.65,99.03,2020-11-25,24585813
127.03,130.06,114.86,115.12,2020-11-27,42307924
152.92,153.8699,141.05,144.0,2020-11-30,65678203
141.06,178.5,130.33,177.66,2020-12-01,119588724
143.0,149.7999,128.1,138.63,2020-12-02,48512983
157.2659,159.11,143.0101,143.5,2020-12-03,36849966
152.52,157.82,148.51,157.59,2020-12-04,27021103
159.46,163.98,152.97,155.03,2020-12-07,30601619
169.91,170.51,164.3,165.75,2020-12-08,26680980
156.62,170.8,147.2,170.2,2020-12-09,39748439
155.67,159.5,148.0101,151.13,2020-12-10,20748941
156.92,163.75,155.89,159.7,2020-12-11,20028566
155.07,163.7611,152.5606,163.4,2020-12-14,21521611
147.32,157.28,142.46,157.0,2020-12-15,34489592
137.01,141.334,134.31,137.75,2020-12-16,25625529
143.84,146.97,137.3,137.92,2020-12-17,28123742
140.33,145.0,135.06,141.51,2020-12-18,28083877
138.23,147.26,137.79,140.84,2020-12-21,21876576
125.98,141.4,123.0,139.0,2020-12-22,34960751
130.3264,132.0,115.0,120.05,2020-12-23,40842240
123.39,129.7,122.7201,125.94,2020-12-24,12207518
111.29,122.88,111.05,120.04,2020-12-28,30285464
114.39,116.25,106.88,107.7957,2020-12-29,22591558
111.14,118.9408,108.8,118.4,2020-12-30,23383518
104.47,113.55,102.66,110.55,2020-12-31,23139835
