date,text,title
11/4/2019,"Earlier this week, during its 3Q 2019 earnings call, Pfizer announced the U.S. launch dates for three of its biosimilar products: ZIRABEV (bevacizumab-bvzr), a ...",Pfizer Announces U.S. Launch Dates for Three Biosimilars
11/4/2019,Pfizer 's Wyeth unit and Sun Pharmaceutical have settled a patent-infringement lawsuit in which Wyeth accused Sun's proposed generic version of a leukemia ...,Pfizer and Sun Settle Patent Lawsuit on Bosulif Leukemia Drug
11/4/2019,"Effective January 1, 2020, patients who are receiving the reference epoetin alfa, Epogen or Procrit, will be required to switch to Pfizer's biosimilar, Retacrit.",UnitedHealthcare Patients Will Switch to Biosimilar Epoetin ...
11/4/2019,"Crossix develops a healthcare marketing analytics service and reports more than 200 pharmaceutical companies as clients, including Pfizer, Johnson ...",Veeva Completes $430 Million Acquisition of Marketing ...
11/4/2019,Chemists from Pfizer approached Baran for help with the synthesis of the anti-Parkinson's drug candidate sumanirole. When the company used the classical ...,Amping up the pharma lab: Drug companies explore the ...
11/4/2019,"... County health care workers can now receive COVID-19 vaccine as eligibility list expands · Cherry Costales, a nurse, holds a vile of Pfizer-BioNTech COVID-19 ...","Mother, Surgeon Say Treatment of Common Postpartum Muscle Condition Should Be Covered by Insurance"
11/4/2019,She was most recently CMO at UK opioid manufacturer Indivior; she previously spent about 15 years at Pfizer (NYSE: PFE). San Diego-based Acadia has one ...,"Acadia Names Subbiah Chief Medical Officer, Head of ..."
11/4/2019,"During her previous tenure of over 15 years at Pfizer, Inc., she held various leadership roles in global medical affairs and led Pfizer's Global Access program to ...","ACADIA Pharmaceuticals Appoints Ponni Subbiah, M.D. ..."
11/4/2019,"... Astellas and Pfizer's Xtandi, Biogen's Tysabri, Gilead's HIV franchise, Merck's Januvia, Novartis' Promacta, and Vertex's Kalydeco, Symdeko and Trikafta.",Epizyme Establishes Agreements for Up to $270 Million in ...
11/4/2019,"Jill Johnson adminsters the Pfizer COVID-19 vaccine to Sharee Livingston, an OB- · Nation-World · US asking states to speed vaccine, not hold back 2nd dose.",Alabama city to revisit law requiring panhandlers be jailed
11/5/2019,"Mylan is focused on closing its merger with Pfizer's Upjohn next year. But after that deal closes, the pumped-up company should have the firepower for more ...",Think Mylan's done with M&A after its Pfizer deal? Think again
11/5/2019,"I would sum up Pfizer's most significant contribution to Korean society over the past 50 years in three categories. First, as a pharmaceutical company, we have ...",[Interview with global pharmas] 'Pfizer Korea combines Pfizer's ...
11/5/2019,"It was built by Charles Erhart, co-founder of Pfizer Pharmaceutical and Charles Pfizer's cousin, for this daughter back in 1887. The 10,000-square-foot mansion ...",SEE: Brooklyn's 'Pfizer Mansion' Back On The Market For $10M
11/5/2019,"Panadol by GSK and Pfizer's Advil, Centrum, and Caltrate. A $675,000 grant from the Commonwealth's Opportunity Fund was approved by Gov. Northam to ...",GSK to Open $16M Consumer Healthcare R&D Facility
11/5/2019,"While we leveraged the research from Pfizer to launch Allogene, we have built the company from the ground up. In parallel, we have initiated the build-out of ...",Allogene Therapeutics Reports Third Quarter 2019 Financial ...
11/5/2019,"Daily round-up from the J.P. Morgan Healthcare Conference in San Francisco: GSK's first-in-class oncology opportunity, Pfizer's Bourla on underappreciated ...",GSK Gears Up For Three Cancer Launches In 2020
11/5/2019,"... leadership positions in clinical development and medical affairs with biopharmaceutical companies including EMD Serono, Pfizer and Bristol-Myers Squibb.","Ipsen Appoints Howard Mayer, M.D. as Executive Vice ..."
11/5/2019,"... manufacturers in the world—Heritage Pharmaceuticals Inc., Teva Pharmaceutical Industries Ltd., Pfizer Inc., Mylan Pharmaceuticals Inc. and Sandoz Inc. Tong ...","Price-Fixing, Fraud and Collusion, CT Attorney General Offers ..."
11/5/2019,"Somatrogon meets primary and key secondary endpoints in global Phase 3 trial: On October 21, OPKO and Pfizer announced that the global Phase 3 trial ...",OPKO Health Reports 2019 Third Quarter Business Highlights ...
11/5/2019,"Catalia Health, the developer of the Mabu Wellness Coach robot system, announced a 12-month pilot program with Pfizer to explore patient behaviors outside of ...",Robots Aim to Improve Medication Management Tasks for ...
11/5/2019,"One of the initial 800 papers she reported was by Min-Jean Yin, who led the Pfizer California cancer lab at the time of the paper's publication. It contained ...",This Science Vigilante Calls Out Bogus Results in Prestigious Journals
11/5/2019,"Johnson & Johnson, Merck, Pfizer and Eli Lilly have all previously abandoned projects to develop a drug for Alzheimer's after unsatisfactory clinical data.",China approves seaweed-based Alzheimer's drug. It's the first new one in 17 years
11/5/2019,"(Pfizer). Antares Pharma's proprietary products include XYOSTED® (testosterone enanthate) injection, OTREXUP® (methotrexate) injection for subcutaneous use ...",Antares Pharma Reports Third Quarter 2019 Operating and ...
11/5/2019,The researchers from Pfizer and The University of Texas Medical Branch at Galveston found that Pfizer's COVID-19 vaccine is not compromised by the ...,UPDATED: Missouri City City Council retains three ...
11/6/2019,"Pfizer and Indian drugmaker Sun Pharmaceuticals have agreed to settle patent litigation over a generic version of Pfizer's leukaemia drug, Bosulif. You need a ...",Pfizer and Sun settle Bosulif dispute
11/6/2019,"Pfizer in partnership with Science Gallery has today launched We Are All Scientists, an initiative which encourages people to discover their inner scientist.",New research shows 82% of people would like more focus on science at primary school
11/6/2019,"The assessment found that the site was contaminated after years of Pfizer applying materials such as solids from the fermentation of beer, byproducts of ...",FedEx distribution center to bring more than 700 jobs to Portage
11/6/2019,"The program mainly described the impotence remedies, such as surgery, that predated Pfizer's magic pill. But ”boy oh boy, did everyone on that project know that ...","What's in a Name? Ghostly Spirits, Spinning Science to Sell ..."
11/6/2019,We have recently completed the manufacturing technology transfer to Pfizer and initiated the transfer of the IND.” Ex Vivo Gene-Edited Cell Therapy. Abstract ...,Sangamo Announces Gene Therapy and Ex Vivo Gene ...
11/6/2019,"EMA Greenlights BioNTech and Pfizer mRNA Vaccine for Covid-19. Latest Job Offers. Senior Fermentation Scientist at Colorifix Ltd (Cambridge, UK) · Research ...",UK Biotech Launched to Target ‘Dark Antigens' with Cancer...
11/6/2019,"In July, Mylan trumpeted a merger with Pfizer's generics business Upjohn, likely creating the biggest generics player in the industry if the deal is approved.",Endo CEO's departure another C-suite hit at generic industry's ...
11/7/2019,Pfizer Biopharmaceuticals Group President Angela Hwang talks with Bloomberg's Cynthia Koons at The Year Ahead Summit in New York about Pfizer's ...,"Pfizer Exec on Biopharmaceuticals Breakthroughs, Pipeline"
11/7/2019,Pfizer is currently conducting clinical trials on the first vaccine that may be used in pregnant women to protect their unborn children. Vaccines such as tetanus have ...,Pfizer Vaccine Trial Focuses On Pregnant Women
11/7/2019,"Armed with $44 million from the likes of Atlas Venture and Pfizer Ventures, the Cambridge, Massachusetts-based biotech is going after progranulin, a protein ...",Arkuda bags $44M to target progranulin and head off inherited ...
11/7/2019,"Celltrion and Teva – which partners the drug in the US and Canada – held off launching their product before a date agreed by Roche, while Pfizer has indicated it ...",First Rituxan biosimilar Truxima set to make its debut in US -
11/7/2019,"Pfizer had, in a letter to some hospitals across Nigeria last week, advised that Xalatan 0.0005 per cent eye drop solution be recalled immediately at patients' ...","We Recalled Xalatan Due to Counterfeiting in Open Market, Says Pfizer"
11/7/2019,“Pfizer was in the process of centralizing its regional headquarters in New York and needed internationally focused talent to define and drive the new ...,Carol Stuckley says her success at her old job led directly to her getting her current job - Dallas
11/7/2019,"So far, Walmsley has created a vast consumer healthcare business by merging the over-the-counter medicines of Glaxo, Novartis and Pfizer. That side of the ...",Comment: Could GSK add Reckitt to its flurry of acquisitions?
11/7/2019,"... 2015-2019 & Forecast to 2030 - Merck, Astra Zeneca, Daiichi Sankyo, Johnson & Johnson and Pfizer are the Major Players - ResearchAndMarkets.com.",Global Anti-Hypertensive Drugs Markets 2015-2019 ...
11/7/2019,Pfizer's overall tax rate came to just 5.95% in 2018 because a net loss saved the company from paying state and federal taxes. Its international tax rate came to ...,10 Companies With Lower Tax Rates Than Most Americans
11/8/2019,Immuno-oncology agents have had little luck in stomach cancer and now Pfizer and Merck KGaA's Bavencio can tally up another failure against the ...,"Pfizer, Merck KGaA's Bavencio flunks study in hard-to-treat ..."
11/8/2019,"A little more than one year after Pfizer terminated its studies of PF-06252616 as a potential treatment for Duchene Muscular Dystrophy, Swiss pharma giant ...",Roche Terminates Myostatin Inhibitor for DMD One Year After ...
11/8/2019,"Pfizer's biopharmaceuticals business generated revenue of $10.1billion, up 9% on the same period last year. The firm cited products like Ibrance (palbociclib), ...",Pfizer unveils biosimilar launch plans - Bioprocess InsiderBioProcess
11/8/2019,The effort is a part of Pfizer's third annual “Operation That's My Ride” event at the company's Kalamazoo location. The event was organized by local members of ...,Pfizer employees in Portage build 100 bikes for military families
11/8/2019,"In addition, preliminary tests from the high-dose group indicate similar activity of SB-525-derived FVIII and the clotting factor provided by Xyntha, Pfizer's ...",Updated Alta Trial Results Support SB-525 Gene Therapy for ...
11/8/2019,"EMD Serono and Pfizer previously reported results from the phase III JAVELIN Gastric 300 trial, in which avelumab did not improve OS compared with ...",Avelumab Falls Short as Frontline Maintenance for Gastric ...
11/8/2019,"RG6206 adds to the list of drugs that have now failed in trials, which also includes Pfizer's domagrozumab forerunner stamulumab which was dropped from ...",Roche joins others in dropping myostatin inhibitor for DMD -
11/8/2019,Alecensa Is Used For The Treatment of Anaplastic Lymphoma Kinase (ALK)-Positive Non-Small Cell Lung Cancer. It Competes With Pfizer's Xalkori. Other Smaller ...,Roche's New Oncology Drugs To Add $5 Billion In Sales By ...
11/8/2019,"Earlier this year, Pfizer acquired Array in a deal valued at $11.4 billion. The evening also included a celebration of life honoring Adam Rubenstein (1970-2019), ...",Colorado BioScience Association Celebrates the Strength of ...
11/8/2019,"... health experts warn · Eagles Twitter reacts to firing of head coach Doug Pederson · Pfizer's COVID-19 vaccine effective against U.K. variant, study suggests ...",CDC: Vitamin E acetate likely causing some vaping illnesses
11/9/2019,Pfizer China is working with KingMed Diagnostics to raise awareness of issues concerning use of antibiotics and raise the diagnostic capability of community ...,Pharma companies reach out through CIIE - SHINE News
11/10/2019,"Disclosure: This clinical trial was supported by Pfizer, Inc. Please see the original reference for a full list of authors' disclosures. Visit Rheumatology Advisor for live ...",Improved Clinical Disease Scores With IRAK4 Inhibitor in ...
11/10/2019,"With Anaptysbio's phase IIb failure with etokimab in AD, Pfizer and Dermira ... of two monotherapy trials in Pfizer's JAK1 Atopic Dermatitis Efficacy and Safety ...",Shares sink as Anaptysbio study fails to hit the primary ...
11/10/2019,"Jill Johnson adminsters the Pfizer COVID-19 vaccine to Sharee Livingston, an OB- · Nation-World · US shifts to speed COVID shots as cases and deaths rise.",Rep. Duncan Hunter cancels international travel ahead of criminal trial
11/11/2019,ATM-AVI is a drug candidate under development and supported by public-private partnerships between Pfizer and the Biomedical Advanced Research and ...,Allergan Receives FDA Qualified Infectious Disease Product ...
11/11/2019,"... Pfizer Educational Group, Bristol-Myers Squibb/Pfizer Education Consortium, ... Boehringer-Ingelheim, CVS Health, Johnson and Johnson, Merck, and Pfizer.",Anticoagulant Benefits for Atrial Fibrillation Decrease With Age
11/11/2019,Pfizer does seem to be making progress on the issue but the challenge has been given the lack of consistent supply a portion of the installed base has chosen to ...,ICU Medical Inc (ICUI) Q3 2019 Earnings Call Transcript
11/11/2019,"A number of other major pharma companies such as Pfizer, Allergan, Merck & Co and Bristol-Myers Squibb are pursuing treatments in NASH, making the race to ...",Novartis makes case for NASH candidate tropifexor
11/12/2019,"(NYSE: PFE) today announced that the name of the new company to be formed by the planned combination of Mylan and Upjohn, a division of Pfizer, will be ...",Mylan and Pfizer Announce Viatris as the New Company ...
11/12/2019,"Major players in the market are Merck & Co, Meda Manufacturing GmbH, Pfizer, GlaxoSmithKline and Roche. The diuretic drugs market has been geographically ...",The World Market for Diuretics Drugs (2015-2030): Major ...
11/12/2019,"Major players in the market are Bayer Healthcare, Pfizer, Sanofi, Johnson & Johnson and Novartis AG. The analgesics market has been geographically ...",Global Analgesics Market Report 2020 with Profiles on Key ...
11/12/2019,Pfizer Announces Results of Phase 3 Study for XELJANZ® (tofacitinib) in Juvenile Idiopathic Arthritis Ahead of Presentation at 2019 American College of ...,Pfizer Announces Results of Phase 3 Study for XELJANZ ...
11/12/2019,"Resuming coverage of Remicade, as the court ordered, did not reverse Pfizer's gains. By August 2019, 13.4% of 2,164 patients were on the biosimilar: a single ...",J&J blockbuster loses ground to biosimilars despite Quebec ...
11/12/2019,"Australian drug maker Juno Pharmaceuticals has hit back at claims it is infringing the patent for US-based Pfizer's post-operative pain killer Dynastat, saying the ...",Juno challenges validity of patent for Pfizer's pain drug Dynastat
11/12/2019,The halt pushes Solid Biosciences further behind Sarepta Therapeutics Inc and Pfizer Inc in the race to develop the first gene therapy for DMD. The fact that ...,Solid Biosciences shares plummet as gene therapy trial halted ...
11/12/2019,What are the differences between Pfizer and Moderna COVID vaccines? What are the differences between Pfizer and Moderna COVID vaccines?,Man charged with reckless homicide after fatally shooting friend in car
11/12/2019,"About 3 million doses of the Pfizer-BioNTech vaccine are expected in the first shipments around the country, according to officials with Operation Warp Speed, the ...",Viacom Building Evacuated Following Smoke Alarm
11/12/2019,"... director of forensic analysis and investigations at pharmaceutical giant Pfizer, ... challenge daily when managing Pfizer's almost 250,000 endpoints to monitor ...","Insider Threats, a Cybercriminal Favorite, Not Easy to Mitigate"
11/12/2019,"Justin McCarthy, JD, senior vice president of the patient and health impact group at Pfizer, highlighted the fact that political pressure on drug pricing is ...","Pharma Panel Grapples With Drug Pricing, Real-World ..."
11/12/2019,The researchers from Pfizer and The University of Texas Medical Branch at Galveston found that Pfizer's COVID-19 vaccine is not compromised by the ...,"Marble Slab Creamery offers ice cream, other desserts at new ..."
11/12/2019,"Jill Johnson adminsters the Pfizer COVID-19 vaccine to Sharee Livingston, an OB- · Nation-World · US asking states to speed vaccine, not hold back 2nd dose.",Beyond Netflix: Disney Plus joins the streaming fray
11/13/2019,Pfizer (NYSE: · The reason for the reduction was costs related to the company's acquisition of Array and expenses associated with the creation of Pfizer's new ...,Should Investors Buy Pfizer Stock Before Next Year's Huge Shake Up?
11/13/2019,"The agreement grants Pfizer access to CENTOGENE's data repository, which may be used in the discovery and validation of novel genetic and biochemical ...",CENTOGENE Signs Data Access and Collaboration ...
11/13/2019,"Under the terms of the deal, Centogene will help New York City-based Pfizer mine data from the repository, as well as substantiate the resulting data. In exchange, ...",Pfizer Inks Deal for Access to Centogene Rare Disease Data
11/13/2019,"Mylan, Pfizer Unveil Combined Company Name. Viatris will be the name of the Mylan-Upjohn combination company.","Mylan, Pfizer Unveil Combined Company Name"
11/13/2019,"Novartis thinks tropifexor may prove to be best-in-class FXR agonist, while Pfizer notes the complementary activity of its ACC and DGAT2 inhibitors. Their NASH ...","Novartis, Pfizer Advance Their NASH Ambitions Separately ..."
11/13/2019,"The 21-year-old Marketing student from Leicester has just completed a placement year with Pfizer, one of the world's premier pharmaceutical companies.",Positive placement at Pfizer paves way for student success
11/13/2019,"Pfizer announced earlier this year, in August​, that it would be ramping up the manufacture of its own gene therapy ahead of the beginning of Phase III trials.",Further safety issues lead to clinical hold for DMD gene therapy
11/13/2019,"Pfizer, the other manufacturer of the drug also recently reported issues making the drug, but in the middle of October announced it was ramping up production ...",Teva Pharmaceuticals To Resume Production Of Scarce Childhood Cancer Drug Vincristine
11/13/2019,"In 2004, Abbott spun off a hospital-products business into a stand-alone company called Hospira, which Pfizer later acquired for $17 billion. And in 2013, Abbott ...",New Abbott Labs CEO has deep background in medical devices
11/13/2019,"Keeping with this theme, Vascepa has the potential to generate annual sales larger than those of Pfizer's (NYSE:PFE) megablockbuster cholesterol medicine ...",Amarin's Stock Could Reach $50 Per Share Soon
11/13/2019,"Fitbit, BMS-Pfizer Alliance Partner to Address Gaps in Atrial Fibrillation Detection. Using brain circuits made in silicon, scientists have alleviated symptoms of ...",Bionic Pacemaker Slows Progression of Heart Failure ...
11/13/2019,"Pfizer Inc (Pfizer) is a biopharmaceutical company that provides medicines, vaccines, and consumer healthcare products. The company provides products to ...",Nanotechnology in medicine: Who are the leading public ...
11/13/2019,"... dividend yield is by far the highest among its branded drug peers, with GlaxoSmithKline being the next highest at 4.19%, followed by Pfizer at 3.89%.",Why Does AbbVie Pay a Much Higher Dividend Than Its Peers?
11/13/2019,The researchers from Pfizer and The University of Texas Medical Branch at Galveston found that Pfizer's COVID-19 vaccine is not compromised by the ...,Cy-Fair ISD announces inaugural principal for Rowe Middle ...
11/13/2019,Mylan is simplifying its business by merging its off-patent branded drugs with Pfizer's (NYSE:PFE) Upjohn unit. Impatient investors also fretted over Mylan's ...,7 Biotech Stocks to Buy With Plenty of Power in the Pipeline
11/14/2019,"Yet once Pfizer encountered difficulties, demand quickly outstripped supply. The pharma's problems appear to be close to resolution, with the company ...",Teva to restart production of cancer drug after shortages ...
11/14/2019,"In a lengthy decision that followed a bench trial, U.S. District Judge Joseph Bataillon in Wilmington, Delaware, said Pfizer's proposed generic version of Adrenalin ...",Judge upholds Endo patents on Adrenalin in loss for Pfizer generic unit
11/14/2019,"His research and collaboration with Pfizer has led to the development of a potential new drug for chronic kidney disease. November 14, 2019. 2. Kat J. McAlpine.","Weining Lu, Kidney Researcher, Named BU Innovator of the ..."
11/14/2019,"... a division of Pfizer, will be Viatris (pronounced 'viǝ-trīs). Deriving its name from Latin, Viatris embodies the new company's goal of providing a path—""VIA""—to ...",Mylan and Pfizer announce Viatris as new company name
11/14/2019,"The 39-year-old Bernardsville resident has been with Pfizer for the last ten years, where he heads the Global Corporate Affairs team in the Oncology division.",Ribeiro enters race for Bucco Assembly seat
11/14/2019,"Ringaskiddy was Pfizer's first Irish location. Since then, the company has expanded to six sites in the country, including in Little Island. From an initial investment of ...",Cork County on the Rise: Big pharma feels at home in Cork
11/14/2019,"Pfizer recently agreed to merge its generics business, Upjohn, with Mylan (MYL), in a transaction that will tentatively give PFE investors 57% of the combined ...",7 Low-Risk Dividend Stocks to Buy for Retirees
11/14/2019,"The picture is complicated further by Pfizer's merger with Wyeth (which added animal health solutions) in 2009, so I've used the figures for the legacy Pfizer animal ...",3 Recession-Ready Stocks to Buy Right Now
11/14/2019,"The company, a Pfizer spinoff, had previously raised $228 million in venture capital. Read more on. rare diseases genetics orphan drug AstraZeneca Merck ...",AstraZeneca's selumetinib moves past cancer failures to nab ...
11/14/2019,"The CDK4/6 inhibitor palbociclib (Ibrance, Pfizer) plus endocrine therapy significantly improved progression-free survival compared with single-agent ...",CDK4/6 Combo Better Than Chemo in Advanced Breast Cancer
11/14/2019,"The company got a potential lifeline in July, when it entered an agreement to merge with Pfizer's Upjohn unit. Mylan and Pfizer announced this week the name of ...",Mylan plant warned by FDA over valsartan manufacturing
11/14/2019,"The company got a potential lifeline in July, when it entered an agreement to merge with Pfizer's Upjohn unit. Mylan and Pfizer announced this week the name of ...",Mylan plant warned by FDA over valsartan manufacturing
11/14/2019,Do you believe the Trump administration deserves credit for Pfizer's vaccine approval? Do you believe the Trump administration deserves credit for Pfizer's ...,Election board to meet Friday
11/14/2019,Government secures another 20M COVID-19 vaccine doses from Pfizer. Ryan Patrick Jones. News -Politics. Video. Live in. 30 minutes. COMING UP LIVE ...,Cowboy Junkies' Margo Timmins calls out sexism in the music industry
11/15/2019,"European drug regulators have turned a temporary restriction on Pfizer's Xeljanz into a formal one. In a decision posted Friday, the European Medicines Agency ...",Pfizer's Xeljanz gets EMA blood clots warning following FDA's ...
11/15/2019,"Bristol-Myers Squibb and Pfizer Announce Randomized, Controlled Trial to Evaluate the Effect of Atrial Fibrillation Screening on Health Outcomes in Older ...",Bristol-Myers Squibb and Pfizer Announce Randomized ...
11/15/2019,"Citing data from an ongoing study (A3921133), the European Medicines Agency recommends that Pfizer's (NYSE:PFE) rheumatoid arthritis med Xeljanz ...",EMA cautions on Pfizer's Xeljanz
11/15/2019,The new investment from GSK reflects an August agreement with Pfizer to form a joint venture to develop over-the-counter health care items. The two companies ...,GSK to add 150 jobs at city research center
11/15/2019,A joint press release from Bristol Myers Squibb and Pfizer has highlighted the findings of an artificial intelligence (AI)-based machine learning (ML) technique ...,AI-based ML algorithms could increase detection of ...
11/15/2019,"New Delhi: Mylan N.V. and Pfizer Inc. recently announced that the name of the new company to be formed by the planned combination of Mylan and Upjohn, ...","Mylan, Pfizer say Mylan-Upjohn combined entity to be known as Viatris"
11/15/2019,"That's because deep inside the archives of Pfizer's drug portfolio is a new medication called Vyndagel, which treats a frequently undiagnosed form of congestive ...",Out-Of-Favor Drugs Stocks May Be The Right Medicine For Your Portfolio
11/15/2019,"These gains also lend more credit to the ongoing speculation that Pfizer, among other companies, is interested in a possible buyout of Amarin. Amarin is looking ...",Amarin wins FDA advisory nod for Vascepa cardiovascular ...
11/15/2019,"Abbott India comes second on the list with a gain of 118 per cent, followed by Pfizer (up 94 per cent). Sanofi India and Glaxosmithkline Pharmaceuticals have ...",Three key reasons why CLSA is bullish on pharma MNCs in India
11/15/2019,"SAN DIEGO, CA - DECEMBER 30: Vials filled with doses of the Pfizer COVID · Health · Who's next? From across the state, individuals and groups ask for priority ...",Rep. Duncan Hunter to shrink his criminal defense team ahead of trial in January
11/16/2019,Bristol-Myers Squibb and Pfizer are launching a new study that could give anticoagulant Eliquis a leg up with early screening for atrial fibrillation. (Bristol-Myers ...,"Pfizer, BMS look to early atrial fibrillation screening for ..."
11/16/2019,"The FDA has approved Pfizer's adalimumab biosimilar, Abrilada (adalimumab-afzb), referencing Humira. In a statement, Sarah Yim, MD, acting director of the ...","FDA Approves Pfizer's Adalimumab Biosimilar, Abrilada"
11/16/2019,Exact Sciences' partnership with Pfizer where the big drugmaker's sales team promotes Cologuard is still picking up momentum. The company recently obtained ...,Better Buy: Exact Sciences vs. Illumina
11/17/2019,Pfizer to supply US with additional 100M vaccines doses. The drugmakers said Wednesday that they expect to deliver all the doses by July 31. 3 weeks ago.,Big study casts doubt on need for many heart procedures
11/17/2019,"Tanezumab, which Lilly is developing with Pfizer, targets cancer pain, osteoarthritic pain, and chronic lower back pain. AbbVie has 16 late-stage programs.",Better Buy: Eli Lilly vs. AbbVie
11/18/2019,"AbbVie is preparing for the costly U.S. loss of Humira exclusivity in 2023, and now there's another pharma giant that has scored a biosimilar nod. Pfizer's ...","Pfizer scores FDA nod for biosim to AbbVie's Humira, but it'll ..."
11/18/2019,Pfizer's FDA-Approved Adalimumab Faces Four-Year Wait. Abrilada May Launch From Late 2023 Under A Settlement With AbbVie. 18 Nov 2019. News.,Pfizer's FDA-Approved Adalimumab Faces Four-Year Wait
11/18/2019,"Now, eight years on from Pfizer's exit, Sandwich is showing signs of a full-blown recovery. 'I don't get many bookings from Discovery Park'. Businesses' in ...",Sandwich: The small Kent town forced to rebuild after Pfizer left and took thousands of jobs
11/18/2019,"Teva's decision to stop manufacturing vincristine and Pfizer's manufacturing woes drew intense media attention and left physicians scrambling, as there are ...","After Backlash, Teva Will Resume Production of Vincristine"
11/18/2019,Sanofi Genzyme's Lemtrada and Pfizer's Xeljanz receive label restrictions. 18th November 2019.,Novartis' Mayzent and Roche's Polivy lead CHMP ...
11/18/2019,"... Officer of Neuroscience at the $200 billion behemoth Pfizer (PFE), where he led global research and development in neuroscience, pain and rare diseases.",Are Shrooms And Other Psychedelics The Next Big Thing?
11/18/2019,The researchers from Pfizer and The University of Texas Medical Branch at Galveston found that Pfizer's COVID-19 vaccine is not compromised by the coronavirus ...,Ellington Airport/Clear Lake Neighborhood Recycling Center ...
11/18/2019,Pfizer's COVID vaccine candidate shown to be 90% effective in early findings ... Pfizer says COVID-19 vaccine is looking 90% effective ...,Christmas at the Newport Mansions celebrations begin Saturday
11/19/2019,"Pfizer's final-stage testing of the drug was spread over about 50 sites, and in the small community of physicians who care for patients with the heart disease ...",Heart Failure Drug From Pfizer Attracts New Critics Over Price
11/19/2019,Akcea and Ionis Announce Closing of Licensing Agreement with Pfizer Inc. for Investigative Antisense Therapy AKCEA-ANGPTL3-L(Rx) ...,Akcea and Ionis Announce Closing of Licensing Agreement ...
11/19/2019,"This investment is part of Pfizer's larger, multisectoral strategy to fight infectious diseases and AMR, which also includes multiple investments from Pfizer Inc., such ...",When global health goes local: Tackling infectious diseases ...
11/19/2019,Pfizer recently announced that it completed a study of topical crisaborole (Eucrisa) in atopic dermatitis patients younger than two years. “It appeared safe but we ...,Pipeline full with agents in various phases of development
11/19/2019,"Pfizer, which developed Abrilada, is working to bring the therapy to patients in the U.S. as soon as possible, and expects the medication to be available in 2023.","FDA Approves Abrilada, Biosimilar to Humira, for JIA and Other..."
11/19/2019,The pharma sector veteran has also worked at AbbVie and Pfizer. News.,Group VP Gulden Mesara-Dogan to exit Walgreens Boots ...
11/19/2019,"Patients were then randomly assigned oral tofacitinib (Xeljanz, Pfizer) or placebo twice a day. Dosing was based on body weight. “We wanted to limit the amount ...",Tofacitinib bested placebo for disease flares in polyarticular JIA
11/19/2019,"Due to Pfizer's size, the company can invest in drug development on a large scale, allowing high-level research to ensure success. According to Conover, the ...",Our Ultimate Stock-Pickers' Top 10 High-Conviction and New ...
11/19/2019,The expectation that Truxima may win market share faster than some other biosimilars launched in the US is in line with Pfizer's assessment of the broader ...,Teva launches biosimilar to Roche's Rituxan
11/19/2019,"Pfizer also agreed to build three new holes (the 15th, 16th and 17th) on the west side of Eastern Point Road, overlooking Long Island Sound and the Thames River ...",History Revisited: Shennecossett Golf Course in Groton a ...
11/19/2019,Pfizer presents positive phase 3 data at the 28th congress of the European academy of dermatology and venereology for abrocitinib in moderate to severe ...,"Abrocitinib Leads to Higher Skin Clearance, Itch Relief in ..."
11/19/2019,What's motivating Pfizer? More diagnosed patients mean a greater number of potential patients for its colorectal cancer treatments. Development of its next- ...,Is Exact Sciences Stock a Buy?
